,N,MeanAbsRef,MAE,MSE,STDDEV,RMSD,MAX,MIN,ErrRange
ACONF,15,1.834133,0.255183,-0.255183,0.116484,0.278895,-0.132618,-0.509075,0.376457
ADIM6,6,3.358333,0.056931,-0.005115,0.079874,0.073094,0.086210,-0.145482,0.231692
AHB21,21,22.486190,8.100854,-8.100854,5.865853,9.919354,-1.917784,-21.013278,19.095493
AL2X6,6,35.883333,2.979907,0.158791,3.591753,3.282649,5.738128,-2.377606,8.115734
ALK8,8,62.601250,4.844662,4.844662,3.977702,6.108609,12.962613,0.852785,12.109828
ALKBDE10,10,100.690000,13.001678,-13.001678,6.148671,14.250234,-0.809725,-25.352471,24.542746
Amino20x4,80,2.438687,0.731225,-0.191892,0.934611,0.948368,2.173608,-2.108032,4.281639
BH76,76,18.614474,5.399150,-0.953877,9.830584,9.812170,52.419831,-17.428447,69.848277
BH76RC,30,21.391667,6.418648,-1.387917,8.039323,8.025127,13.894852,-20.283286,34.178139
BHDIV10,10,45.333000,2.381003,0.201503,2.743800,2.610785,3.954076,-3.756287,7.710364
BHPERI,26,20.873077,2.845528,-1.581276,3.067290,3.398064,7.619857,-5.710051,13.329908
BHROT27,27,6.272963,0.774948,0.774948,0.664017,1.012489,2.428085,0.025730,2.402354
BSR36,36,16.196944,1.815332,1.802813,1.989960,2.664597,8.491903,-0.128425,8.620328
BUT14DIOL,64,2.799688,0.399889,0.070523,0.474974,0.476496,1.060733,-0.730069,1.790803
C60ISO,7,88.408571,11.800587,11.800587,6.430862,13.217482,20.213272,4.394705,15.818567
CARBHB12,8,5.796875,1.870089,1.870089,1.235060,2.198166,3.526632,0.540241,2.986391
CDIE20,20,4.055000,1.995107,1.909775,1.390659,2.341896,4.247842,-0.853324,5.101166
CHB6,6,26.785000,4.286936,-4.286936,3.391245,5.287873,-0.519702,-8.588291,8.068588
DARC,14,32.471429,8.855453,-8.855453,3.192938,9.374737,-4.941771,-15.444537,10.502766
DC13,13,54.978462,12.221915,-2.322532,14.363279,13.993870,23.652421,-20.679133,44.331555
DIPCS10,9,645.511111,7.562543,4.314137,9.478104,9.922935,20.331467,-8.763787,29.095254
FH51,51,31.010980,5.253719,-1.580515,6.711886,6.831114,15.236629,-17.014324,32.250953
G21EA,25,33.624000,21.042826,-21.042826,13.702145,24.960756,-1.367949,-48.983737,47.615788
G21IP,36,257.609583,5.399675,2.073902,6.346152,6.592117,14.186987,-11.287980,25.474967
G2RC,24,48.852917,9.933863,-2.674601,12.715653,12.732020,25.823876,-33.151677,58.975553
HAL59,59,4.592203,1.149588,1.103529,1.378437,1.756605,6.099840,-0.481437,6.581276
HEAVY28,28,1.241429,0.507024,0.199066,0.872142,0.879257,2.999125,-0.605829,3.604953
HEAVYSB11,11,58.022727,3.525282,-3.516993,2.723524,4.371785,0.045590,-9.128831,9.174421
ICONF,17,3.266471,0.653710,-0.016889,0.861837,0.836275,1.435107,-1.625202,3.060309
IDISP,6,14.223333,2.378739,-2.378739,2.516274,3.306775,-0.094659,-6.240947,6.146288
IL16,16,109.045000,6.625910,-6.625910,5.181325,8.310893,-0.976929,-14.043017,13.066088
INV24,23,29.765217,2.199199,0.833670,3.566912,3.586739,14.098333,-2.928924,17.027256
ISO34,34,14.570000,2.147212,0.014796,2.729292,2.688896,4.696269,-5.352012,10.048281
ISOL24,23,21.232609,3.777331,0.381051,4.871694,4.779824,10.742695,-9.678760,20.421456
MB16-43,43,468.393795,24.757605,-21.406676,24.278831,32.155855,29.850597,-76.414502,106.265099
MCONF,51,4.970980,0.326707,0.303464,0.269382,0.404023,1.010252,-0.191549,1.201801
NBPRC,12,27.708333,4.894297,0.215075,6.090479,5.835154,12.706986,-7.991116,20.698102
PA26,26,189.053846,3.825100,-0.195370,4.662563,4.576192,7.371741,-9.173449,16.545190
PArel,20,4.630500,2.117868,0.295144,3.334617,3.263556,8.399756,-9.532382,17.932137
PCONF21,18,1.621667,0.873854,-0.176912,0.983340,0.971872,1.780754,-1.576918,3.357672
PNICO23,23,4.273478,1.800497,1.795791,1.561199,2.357167,5.888084,-0.054114,5.942198
PX13,13,33.361538,10.430499,-10.360091,6.256424,11.977619,0.457648,-21.602922,22.060570
RC21,21,35.698571,6.602311,6.419406,5.323799,8.258447,22.096750,-1.474609,23.571359
RG18,18,0.580000,0.277470,0.043591,0.416590,0.407193,0.877380,-0.933018,1.810397
RSE43,43,7.602326,2.316841,-2.289714,1.334185,2.642242,0.342004,-5.176774,5.518778
S22,22,7.302364,0.436270,0.112748,0.593881,0.591080,1.389629,-1.123601,2.513230
S66,66,5.469409,0.450717,0.163574,0.628127,0.644455,2.059898,-1.044074,3.103972
SCONF,17,4.600000,0.448532,-0.032409,0.625161,0.607361,0.656779,-1.838009,2.494788
SIE4x4,16,33.725000,9.081450,8.461728,6.713179,10.670095,23.050969,-3.894486,26.945456
TAUT15,15,3.046000,1.242082,-0.466797,1.523804,1.544370,3.712019,-2.223373,5.935392
UPU23,23,5.991739,0.799848,0.788974,0.634085,1.003525,2.257573,-0.125051,2.382624
W4-11,140,306.914464,12.340361,-9.913080,13.053431,16.353719,22.370676,-63.335023,85.705699
WATER27,27,81.174444,20.611639,20.178842,15.027875,24.993166,45.179037,-5.842757,51.021794
WCPT18,18,34.987778,3.767109,-0.704229,4.680245,4.602576,9.832077,-8.857114,18.689191
YBDE18,18,49.275556,5.795902,-5.172706,4.502695,6.775308,5.608766,-11.937310,17.546076
