,N,MeanAbsRef,MAE,MSE,STDDEV,RMSD,MAX,MIN,ErrRange
ACONF,15,1.832000,0.252667,-0.252667,0.117805,0.277116,-0.130000,-0.510000,0.380000
ADIM6,6,3.358333,0.058333,-0.005000,0.082401,0.075388,0.090000,-0.150000,0.240000
AHB21,21,22.486190,8.100952,-8.100952,5.864907,9.918902,-1.920000,-21.010000,19.090000
AL2X6,6,35.883333,2.981667,0.158333,3.593713,3.284415,5.740000,-2.380000,8.120000
ALK8,8,62.601250,4.843750,4.843750,3.977547,6.107797,12.960000,0.850000,12.110000
ALKBDE10,10,100.690000,13.003000,-13.003000,6.148447,14.251353,-0.810000,-25.350000,24.540000
Amino20x4,80,2.438375,0.731000,-0.192000,0.934324,0.948110,2.170000,-2.110000,4.280000
BH76,76,18.614474,5.398947,-0.953684,9.830675,9.812241,52.420000,-17.430000,69.850000
BH76RC,30,21.391667,6.417667,-1.389000,8.037913,8.023950,13.890000,-20.280000,34.170000
BHDIV10,10,45.333000,2.382000,0.202000,2.745144,2.612095,3.950000,-3.760000,7.710000
BHPERI,26,20.873077,2.845769,-1.581923,3.067339,3.398409,7.620000,-5.710000,13.330000
BHROT27,27,6.272963,0.774815,0.774815,0.664497,1.012690,2.430000,0.030000,2.400000
BSR36,36,16.196944,1.815278,1.802500,1.989958,2.664384,8.490000,-0.130000,8.620000
BUT14DIOL,64,2.799688,0.400000,0.070625,0.475317,0.476848,1.060000,-0.730000,1.790000
C60ISO,9,98.252222,8.416667,8.416667,3.024145,8.886482,13.720000,4.380000,9.340000
CARBHB12,12,6.036667,2.090833,2.090833,1.163079,2.368883,3.770000,0.540000,3.230000
CDIE20,20,4.055000,1.994000,1.909000,1.390410,2.341124,4.250000,-0.850000,5.100000
CHB6,6,26.785000,4.286667,-4.286667,3.391706,5.287901,-0.520000,-8.590000,8.070000
DARC,14,32.471429,8.853571,-8.853571,3.192189,9.372723,-4.940000,-15.440000,10.500000
DC13,13,54.978462,12.221538,-2.323077,14.362619,13.993336,23.650000,-20.680000,44.330000
DIPCS10,10,654.260000,7.879000,4.955000,9.163449,10.006196,20.330000,-8.760000,29.090000
FH51,51,31.010980,5.253333,-1.580392,6.711187,6.830412,15.240000,-17.010000,32.250000
G21EA,25,33.624000,21.042400,-21.042400,13.701842,24.960237,-1.370000,-48.980000,47.610000
G21IP,36,257.610000,5.398889,2.073333,6.345032,6.590889,14.180000,-11.290000,25.470000
G2RC,25,51.263200,10.112000,-3.143200,12.666184,12.802134,25.820000,-33.150000,58.970000
HAL59,59,4.592203,1.149492,1.103729,1.378695,1.756929,6.100000,-0.480000,6.580000
HEAVY28,28,1.241429,0.507500,0.199643,0.871765,0.879027,3.000000,-0.610000,3.610000
HEAVYSB11,11,58.022727,3.525455,-3.516364,2.723818,4.371445,0.050000,-9.130000,9.180000
ICONF,17,3.266471,0.654118,-0.017647,0.862667,0.837096,1.440000,-1.630000,3.070000
IDISP,6,14.223333,2.378333,-2.378333,2.515897,3.306244,-0.090000,-6.240000,6.150000
IL16,16,109.045000,6.625625,-6.625625,5.181738,8.310907,-0.980000,-14.040000,13.060000
INV24,24,31.845833,2.176667,0.868333,3.492760,3.527757,14.100000,-2.930000,17.030000
ISO34,34,14.570000,2.147353,0.014412,2.729831,2.689425,4.700000,-5.350000,10.050000
ISOL24,24,21.918750,3.610000,0.561667,4.626095,4.563390,10.510000,-7.790000,18.300000
MB16-43,43,468.393721,24.757907,-21.407209,24.278872,32.156240,29.850000,-76.420000,106.270000
MCONF,51,4.970980,0.326863,0.303333,0.269753,0.404167,1.010000,-0.190000,1.200000
NBPRC,12,27.708333,4.894167,0.215833,6.091015,5.835695,12.710000,-7.990000,20.700000
PA26,26,189.053846,3.825385,-0.195385,4.661946,4.575587,7.370000,-9.170000,16.540000
PArel,20,4.630500,2.118000,0.295000,3.334355,3.263288,8.400000,-9.530000,17.930000
PCONF21,18,1.621667,0.873889,-0.176111,0.983482,0.971862,1.780000,-1.580000,3.360000
PNICO23,23,4.273478,1.800870,1.796522,1.560803,2.357473,5.890000,-0.050000,5.940000
PX13,13,33.361538,10.430769,-10.360000,6.255893,11.977284,0.460000,-21.600000,22.060000
RC21,21,35.698571,6.601429,6.419524,5.323663,8.258455,22.100000,-1.470000,23.570000
RG18,18,0.580000,0.278333,0.043889,0.416641,0.407274,0.880000,-0.930000,1.810000
RSE43,43,7.602326,2.317209,-2.290233,1.333769,2.642486,0.340000,-5.180000,5.520000
S22,22,7.301364,0.435909,0.114091,0.592426,0.589942,1.390000,-1.120000,2.510000
S66,66,5.466970,0.463182,0.165909,0.649719,0.665782,2.130000,-1.130000,3.260000
SCONF,17,4.600000,0.448824,-0.032353,0.625625,0.607807,0.660000,-1.840000,2.500000
SIE4x4,16,33.725000,9.081250,8.462500,6.712115,10.670080,23.050000,-3.890000,26.940000
TAUT15,15,3.046000,1.242667,-0.466667,1.523477,1.544029,3.710000,-2.220000,5.930000
UPU23,23,5.722609,1.122609,1.058261,0.950735,1.408727,2.950000,-0.490000,3.440000
W4-11,140,306.914714,12.340357,-9.913071,13.053187,16.353520,22.370000,-63.330000,85.700000
WATER27,27,81.174444,20.611111,20.178519,15.027793,24.992857,45.180000,-5.840000,51.020000
WCPT18,18,34.987778,3.767222,-0.703889,4.680441,4.602712,9.830000,-8.860000,18.690000
YBDE18,18,49.275556,5.796111,-5.172778,4.504289,6.776364,5.610000,-11.940000,17.550000
